ID,FLIGHT_DATE,FLIGHT_NUMBER,CORRELATION_ID,OPERATION_TYPE,METER_ID,METER_LOCATION,METER_TYPE,METER_STATUS,METER_START_TIME,METER_START_READING,METER_STATUS,METER_END_TIME,METER_END_READING,UNIT_OF_MEASUREMENT,AEROBILL_REMARK,RECONCILIATION_REQUIRED
15876,01-06-2026,6E226,483818,ARR,PBB15,G15,PBB,ON,2026-06-01 12:45:00,0,OFF,2026-06-01 13:44:00,0,NULL,,NO
15877,01-06-2026,6E226,483815,ARR,PCA15,G15,PCA,ON,2026-06-01 12:59:00,5971.8,OFF,2026-06-01 13:35:00,6014.1,KWH,,NO
15878,01-06-2026,6E792,483944,ARR,PBB10R,G10R,PBB,ON,2026-06-01 14:04:00,0,OFF,2026-06-01 20:53:00,0,NULL,,NO
15879,01-06-2026,6E792,483829,ARR,FGP10R,G10R,FGP,ON,2026-06-01 14:05:00,4048.6,OFF,2026-06-01 14:42:00,4053.9,KWH,,NO
15880,01-06-2026,6E792,483824,ARR,PCA10R,G10R,PCA,ON,2026-06-01 14:07:00,6280.5,OFF,2026-06-01 14:27:00,6302.7,KWH,,NO
15881,01-06-2026,6E198,483874,ARR,PBB18,G18,PBB,ON,2026-06-01 14:25:00,0,OFF,2026-06-01 18:09:00,0,NULL,Not used: FGP,YES
15882,,,483826,,PBB14,G14,PBB,ON,2026-06-01 14:32:00,0,OFF,2026-06-01 14:33:00,0,NULL,,NO
15883,,,483828,,PBB14,G14,PBB,ON,2026-06-01 14:33:00,0,OFF,2026-06-01 14:33:00,0,NULL,,NO
15884,01-06-2026,6E5338,483855,ARR,PBB15,G15,PBB,ON,2026-06-01 16:19:00,0,OFF,2026-06-01 17:04:00,0,NULL,,NO
15885,01-06-2026,6E5338,483851,ARR,FGP15,G15,FGP,ON,2026-06-01 16:20:00,13.1,OFF,2026-06-01 16:58:00,23.1,KWH,,NO
15886,01-06-2026,6E5338,483850,ARR,PCA15,G15,PCA,ON,2026-06-01 16:22:00,6014.3,OFF,2026-06-01 16:57:00,6049.1,KWH,,NO
15887,01-06-2026,QP2022,483849,ARR,PBB12R,G12R,PBB,ON,2026-06-01 16:26:00,0,OFF,2026-06-01 16:55:00,0,NULL,"Not used: FGP, PCA",YES
15888,01-06-2026,6E582,483854,ARR,PBB17,G17,PBB,ON,2026-06-01 16:28:00,0,OFF,2026-06-01 17:02:00,0,NULL,Not used: FGP,YES
15889,01-06-2026,6E582,483852,ARR,PCA17,G17,PCA,ON,2026-06-01 16:31:00,654,OFF,2026-06-01 17:00:00,691.8,KWH,Not used: FGP,YES
15890,01-06-2026,6E5302,483863,ARR,PBB14,G14,PBB,ON,2026-06-01 16:47:00,0,OFF,2026-06-01 17:28:00,0,NULL,,NO
15891,01-06-2026,6E5302,483862,ARR,FGP14,G14,FGP,ON,2026-06-01 16:47:00,6375,OFF,2026-06-01 17:26:00,6384.8,KWH,,NO
15892,01-06-2026,6E5302,483861,ARR,PCA14,G14,PCA,ON,2026-06-01 16:49:00,4892.9,OFF,2026-06-01 17:25:00,4940.7,KWH,,NO
15893,01-06-2026,6E198,483869,ARR,PCA18,G18,PCA,ON,2026-06-01 16:49:00,2880.3,OFF,2026-06-01 18:05:00,2958.7,KWH,Not used: FGP,YES
15894,01-06-2026,6E5247,483866,ARR,PBB12L,G12L,PBB,ON,2026-06-01 17:13:00,0,OFF,2026-06-01 17:52:00,0,NULL,,NO
15895,01-06-2026,6E2048,483894,ARR,PBB17,G17,PBB,ON,2026-06-01 18:04:00,0,OFF,2026-06-01 18:57:00,0,NULL,Not used: FGP,YES
15896,01-06-2026,6E2048,483892,ARR,PCA17,G17,PCA,ON,2026-06-01 18:06:00,692.5,OFF,2026-06-01 18:54:00,751.7,KWH,Not used: FGP,YES
15897,01-06-2026,6E792,483942,ARR,FGP10R,G10R,FGP,ON,2026-06-01 18:08:00,4053.9,OFF,2026-06-01 20:49:00,4077.4,KWH,,NO
15898,01-06-2026,6E5247,483882,ARR,PBB12L,G12L,PBB,ON,2026-06-01 18:06:00,0,OFF,2026-06-01 18:34:00,0,NULL,,NO
15899,01-06-2026,6E6279,483896,ARR,FGP15,G15,FGP,ON,2026-06-01 18:28:00,23.1,OFF,2026-06-01 19:01:00,32.5,KWH,,NO
15900,01-06-2026,6E6279,483899,ARR,PBB15,G15,PBB,ON,2026-06-01 18:27:00,0,OFF,2026-06-01 19:11:00,0,NULL,,NO
15901,01-06-2026,6E6279,483895,ARR,PCA15,G15,PCA,ON,2026-06-01 18:29:00,6049.6,OFF,2026-06-01 19:00:00,6085.9,KWH,,NO
15902,01-06-2026,IX1039,483902,ARR,PBB14,G14,PBB,ON,2026-06-01 18:35:00,0,OFF,2026-06-01 19:14:00,0,NULL,,NO
15903,01-06-2026,IX1039,483898,ARR,FGP14,G14,FGP,ON,2026-06-01 18:35:00,6384.8,OFF,2026-06-01 19:03:00,6391.5,KWH,,NO
15904,02-06-2026,6E2730,483907,ARR,PBB12R,G12R,PBB,ON,2026-06-01 18:36:00,0,OFF,2026-06-01 19:23:00,0,NULL,"Not used: FGP, PCA",YES
15905,01-06-2026,IX1039,483897,ARR,PCA14,G14,PCA,ON,2026-06-01 18:37:00,4941,OFF,2026-06-01 19:02:00,4974.2,KWH,,NO
15906,,,483891,,PBB16,G16,PBB,ON,2026-06-01 18:43:00,0,OFF,2026-06-01 18:43:00,0,NULL,,NO
15907,01-06-2026,6E5096,483915,ARR,PBB16,G16,PBB,ON,2026-06-01 19:12:00,0,OFF,2026-06-01 19:50:00,0,NULL,,NO
15908,01-06-2026,6E5096,483918,ARR,FGP16,G16,FGP,ON,2026-06-01 19:13:00,829.8,OFF,2026-06-01 19:52:00,839.8,KWH,,NO
15909,01-06-2026,6E5096,483914,ARR,PCA16,G16,PCA,ON,2026-06-01 19:15:00,1382.6,OFF,2026-06-01 19:50:00,1419,KWH,,NO
15910,01-06-2026,6E792,483939,ARR,PCA10R,G10R,PCA,ON,2026-06-01 19:20:00,6302.7,OFF,2026-06-01 20:47:00,6400.7,KWH,,NO
15911,01-06-2026,6E737,483932,ARR,PBB13L,G13L,PBB,ON,2026-06-01 19:43:00,0,OFF,2026-06-01 20:30:00,0,NULL,,NO
15912,01-06-2026,6E2041,483937,ARR,PBB13R,G13R,PBB,ON,2026-06-01 19:51:00,0,OFF,2026-06-01 20:41:00,0,NULL,Not used: FGP,YES
15913,01-06-2026,IX1581,483938,ARR,PBB14,G14,PBB,ON,2026-06-01 19:54:00,0,OFF,2026-06-01 20:46:00,0,NULL,,NO
15914,01-06-2026,IX1581,483935,ARR,FGP14,G14,FGP,ON,2026-06-01 19:55:00,6391.5,OFF,2026-06-01 20:35:00,6402.3,KWH,,NO
15915,01-06-2026,IX1581,483934,ARR,PCA14,G14,PCA,ON,2026-06-01 19:57:00,4974.9,OFF,2026-06-01 20:34:00,5024,KWH,,NO
15916,01-06-2026,6E5157,483947,ARR,PBB17,G17,PBB,ON,2026-06-01 20:16:00,0,OFF,2026-06-01 21:01:00,0,NULL,Not used: FGP,YES
15917,02-06-2026,QP2024,483953,ARR,PBB18,G18,PBB,ON,2026-06-01 20:16:00,0,OFF,2026-06-01 21:24:00,0,NULL,Not used: FGP,YES
15918,01-06-2026,6E5157,483945,ARR,PCA17,G17,PCA,ON,2026-06-01 20:18:00,751.9,OFF,2026-06-01 20:56:00,796.4,KWH,Not used: FGP,YES
15919,01-06-2026,IX1005,483950,ARR,FGP15,G15,FGP,ON,2026-06-01 20:49:00,32.5,OFF,2026-06-01 21:20:00,39.8,KWH,,NO
15920,01-06-2026,IX1005,483955,ARR,PBB15,G15,PBB,ON,2026-06-01 20:49:00,0,OFF,2026-06-01 21:32:00,0,NULL,,NO
15921,01-06-2026,IX1005,483949,ARR,PCA15,G15,PCA,ON,2026-06-01 20:50:00,6085.9,OFF,2026-06-01 21:18:00,6120.5,KWH,,NO
15922,02-06-2026,6E6093,484032,ARR,PBB16,G16,PBB,ON,2026-06-01 21:23:00,0,OFF,2026-06-02 06:36:00,0,NULL,,NO
15923,02-06-2026,6E6093,484031,ARR,FGP16,G16,FGP,ON,2026-06-01 21:24:00,839.8,OFF,2026-06-02 06:30:00,880.3,KWH,,NO
15924,01-06-2026,6E163,483969,ARR,PBB15,G15,PBB,ON,2026-06-01 22:19:00,0,OFF,2026-06-01 22:49:00,0,NULL,,NO
15925,01-06-2026,6E163,483970,ARR,FGP15,G15,FGP,ON,2026-06-01 22:19:00,39.8,OFF,2026-06-01 22:49:00,48.5,KWH,,NO
15926,01-06-2026,6E163,483968,ARR,PCA15,G15,PCA,ON,2026-06-01 22:21:00,6120.5,OFF,2026-06-01 22:48:00,6150.7,KWH,,NO
15927,02-06-2026,6E829,484029,ARR,PBB14,G14,PBB,ON,2026-06-01 22:24:00,0,OFF,2026-06-02 06:18:00,0,NULL,,NO
15928,02-06-2026,6E829,484025,ARR,FGP14,G14,FGP,ON,2026-06-01 22:25:00,6402.3,OFF,2026-06-02 06:06:00,6472.8,KWH,,NO
15929,02-06-2026,6E753,484054,ARR,PBB12L,G12L,PBB,ON,2026-06-01 22:30:00,0,OFF,2026-06-02 07:53:00,0,NULL,Not used: PCA,YES
